term	genes	type	name	parents
R-HSA-422475	O00329;P19174;Q92529;P47736;Q9BYB0;Q06124;P22612;P07949;P17612;P42338;P27986;P29353;Q9NR12;Q07889;Q9P104;Q99704;Q8TEW6;O60496;Q9Y4H2;Q13480;Q8WU20;Q9GZZ7;P56159;Q9UQC2;Q5T4W7;Q6PKX4;O00451;Q14451;O60609;Q13164;P17252;Q13322;O00459;Q92569;Q99748;P22694;P42336;O60542;P39905;Q96B97;O75553;P06241;P78509;P98155;P07947;P21709;Q5JZY3;P54753;P54762;P29323;P54764;P54756;P29322;P29317;P29320;P07948;P54760;O15197;Q9UF33;Q15375;P20827;O43921;P52797;P52798;P52803;Q15768;P98172;P52799;P61586;Q13224;Q05586;P20936;O75116;P01112;Q13464;O00401;Q13009;P34741;P63000;P63261;P59998;O15511;P23528;P60953;O15145;O15144;P61160;Q8N1W1;P61158;O15143;P60709;Q92747;Q05397;P53671;O60229;Q15811;Q13153;P53667;Q7Z406;P35579;P35580;O14950;P35749;P60660;Q8N5V2;P24844;O00560;Q14155;Q9Y2X7;O43639;Q13177;O75914;P19105;P49810;Q9NZ42;P14780;Q92542;P49768;Q9UKW4;P53680;P09497;P09496;P53675;Q96BI3;Q96CW1;O94973;O95782;O14672;Q00610;Q05193;P08253;P52735;Q8WW43;P63010;O75093;O75094;O43255;Q9Y6N7;Q6NW40;O94813;Q9HB63;Q96B86;Q92859;Q6ZN44;Q8IUQ4;Q04759;Q6ZVN8;O95631;P43146;Q99490;P15311;Q9HD67;Q8IZJ1;Q8TD84;O60469;Q15759;Q16539;P45983;P53778;O15264;P16333;P12931;O14639;Q6H8Q1;O94929;Q14185;O75962;Q6UXZ4;O95185;Q9Y210;Q9HCX4;Q9UBN4;Q00169;P48995;Q13507;Q9UL62;Q96S59;P25391;P11047;O14594;Q12860;Q02246;P25063;Q13740;O95372;P07942;P32004;P17677;Q99962;P0DPH7;Q71U36;Q9H4B7;P68366;A6NHL2;Q9BQE3;Q13885;P0DPH8;A6NNZ2;P04350;Q9H853;P49757;Q6PEY2;Q9NY65;Q9BVA1;Q9BUF5;A0MZ66;P35241;Q9UQ16;Q9UK32;O95239;O75582;P50570;Q16555;P26038;Q15418;P51812;O75676;P28482;Q15349;Q13509;Q2VIQ3;P68363;Q3ZCM7;P68371;P35498;Q14524;O15020;Q01082;Q15858;Q9NY46;Q9UQD0;Q9Y5Y9;Q13813;Q07699;Q9NY72;Q9UI33;Q99250;Q92823;O43526;Q01118;P02549;Q8IWT1;O60939;Q9NRC6;P35499;P11277;Q9H254;Q12955;Q01484;P16157;O43525;O94856;P36507;P05106;P13591;P67870;P19784;P08648;P05556;P08514;P00533;P27361;O14786;Q13797;P06756;Q02750;P68400;O60462;Q92796;Q12959;P78352;Q9UQ52;P11142;O75578;P17301;P56199;O00533;O43602;P78357;P18433;P01111;P01116;P16220;Q92186;P04156;Q92187;O95180;Q08289;Q13698;P12109;P12110;A8TX70;O43497;P25940;P20849;P20908;Q01668;P53420;Q14055;Q9P0X4;P08572;Q14050;O00468;Q02641;P54284;P02458;P12111;A6NMZ7;P05997;Q13936;Q01955;P02461;P02462;O00305;P29400;Q9HCK4;P07737;P50552;P48061;Q8N8S7;P61073;P35052;Q9NZU0;Q9UI08;P35080;Q07890;O96013;Q9NQU5;Q9P286;Q99435;O75044;O43295;Q7Z6B7;Q9C0H5;P42684;Q7Z460;O75122;P40123;P00519;Q01518;Q13459;O43242;P62277;P62753;P28070;Q9UL46;Q15008;Q96EH5;P25398;P08865;P84098;P62851;P62266;P15880;P62945;Q92901;Q9Y3U8;P62244;P60896;P25789;P36578;P46777;P62263;P62241;Q8TD47;P18077;P46783;P46781;P62081;P62857;P62273;Q07020;Q02878;P18124;P62987;P62191;P62701;P62847;P17980;P50914;Q9H1J1;P05388;P62269;O00232;P27635;O75832;Q14997;Q16401;P49721;P61254;P05386;Q96L21;P83881;Q92530;P62979;Q969Q0;P28066;P25787;Q13200;Q99460;O14818;P32969;P62917;P05387;P42766;Q02543;P43686;P49720;P55036;Q8TAA3;P62910;P39019;P39023;P62249;P61289;P62280;P83731;P47914;P08708;P62841;P23396;P62854;P61371;P46776;P35268;P61326;P35998;A5LHX3;Q06323;P52298;P28074;Q9HAU5;P46778;P61927;P62899;P11940;P62424;P62877;P46779;Q15287;P0CG48;P49207;A7E2V4;Q969G2;Q9NQ69;Q9UNM6;O00231;Q6P5R6;P25788;P28062;O43347;P18621;P40306;P40429;P61353;P0CG47;P62333;Q9Y5S9;P25786;P30050;P62829;P22090;P51665;Q99436;P28072;P63220;O00487;Q71UM5;P62195;P48556;P62913;P46782;P61247;P60866;P60900;P28065;O00233;P62888;P62906;P62861;P42677;P15170;Q14118;Q13617;O15234;Q8IYD1;P62495;O43364;P38919;Q9UBR4;Q04637;Q15369;Q15370;Q86U70;Q96A72;P50458;P62750;P61313;Q9UNX3;P61513;P62891;P26373;Q09161;P63173;P20618;Q9BZI7;Q8TEY7;P24588;P13861;P16298;Q9UIW2;O75051;Q14563;Q9HCM2;P08238;P07332;P07900;P51805;P10301;Q92730;O60331;O94887;Q9Y490;P49841;Q14194;O14531;Q9BPU6;Q00535;Q14195;Q15078;O15041;Q9H3S1;Q9Y4D7;Q13591;Q8NFY4;Q92854;Q9H2E6;O75326;Q9ULL4;P21854;O43914;O60486;P08575;Q9NZC2;O43157;P08581;Q9NRY4;P08134;P62745;Q9NZN5;O15085;P04626	Developmental Biology	Axon guidance	R-HSA-9675108
R-HSA-425366	Q3KNW5;Q86VL8;Q9GZV3;Q96FL8;Q13336;Q15849;Q8WWI5;Q8IWA5;Q53GD3;Q8N4M1;Q8NCS7;P53794;Q96QE2;Q8WWX8;Q9BZW2;Q86YT5;Q9UKG4;Q8WWT9;Q13183;O95907;Q6PCB8;P35613;P53985;O15427;O60669;P23975;Q9NSD5;P48066;Q9H2J7;O15245;Q99884;Q01959;P31641;Q695T7;Q9NP91;P30531;P54219;P48067;Q9Y345;Q9UN76;Q96N87;O15244;P48065;Q05940;Q9UBD6;Q02094;Q9H310;Q86VW1;Q9H015;Q01196;Q96BI1;O76082;Q92681;O75751;Q8IZD6;Q9Y694;Q9NSA0;Q96S37;Q4U2R8;Q8TCC7;Q8IVJ1;P49279;Q96JW4;Q9NP59;O15431;P00450;Q9BQS7;P49281;Q6XR72;Q8NEW0;Q8TAD4;Q9Y6M5;Q6NXT4;Q8IWU4;Q99726;Q9BRI3;Q13433;Q6ZMH5;Q9C0K1;Q6P5W5;Q92504;Q15043;Q9NP94;Q9NY26;Q9ULF5;Q9BRY0	Transport of small molecules	Transport of bile salts and organic acids, metal ions and amine compounds	R-HSA-425407
R-HSA-425381	Q9Y6R1;Q9Y6M7;Q9BY07;Q96HN2;Q2Y0W8;Q6U841;P04920;P48751;P02730;Q96Q91	Transport of small molecules	Bicarbonate transporters	R-HSA-425393
R-HSA-425393	Q9H598;Q70HW3;P43003;P43005;P48664;O60931;O00341;P43004;O75387;Q96QD8;Q9H2H9;Q969I6;Q99624;Q6YBV0;Q9H2J7;Q7Z2H8;P31641;Q695T7;Q8WUX1;Q9NP91;P43007;Q8TF71;Q9UPY5;Q9UM01;Q8N370;Q01650;Q9UHI5;Q495M3;Q9UN76;P30825;Q96N87;P48065;Q07837;Q9NS82;Q15758;P52569;Q8WY07;P08195;P82251;Q8N8R3;Q92536;Q9Y6R1;Q9Y6M7;Q9BY07;Q96HN2;Q2Y0W8;Q6U841;P04920;P48751;P02730;Q96Q91;P30626;Q6J4K2;P32418;P57103;P0DP23;Q9HC58;Q9UI40;Q71RS6;Q9UPR5;O60721;Q8NFF2;P48764;Q9Y2E8;Q14940;P19634;Q9UBY0;Q6AI14;Q92581;Q8IVB4;Q96T83;Q9UHW9;Q13621;Q9UP95;P55017;P55011;Q9H2X9;Q9Y666;Q86WA9;P50443;Q9BXS9;O43511;Q9H2B4;Q8TE54;P40879;Q7LBE3;Q1EHB4;P46059;Q8N697;Q16348;Q8IY34;Q9NRA2;Q8NDX2;Q8N695;Q92911;Q9H1K4;Q9UBX3;Q9H936;Q9P2U8;Q14916;Q9P2U7;Q8WUM9;Q08357;O95436;Q8N130;Q06495	Transport of small molecules	Transport of inorganic cations/anions and amino acids/oligopeptides	R-HSA-425407
R-HSA-425397	Q5EBL8;Q9Y289;O00400;Q9H1N7;Q969S0;Q9NTN3;P78382;Q8TB61;Q9Y2D2;P78381;Q76EJ3;Q96A29;Q6PCB7;Q9Y2P4;Q6P1M0;Q6UWW0;Q8WX39;P05090;Q6JVE5;P31025;Q9BZD2;Q7RTT9;O43868;Q9HAS3;O00337;Q99808;Q14542;P12235;Q9Y2Y0;P12236;P36404;P05141;Q9NYB5;Q9Y6L6;Q96BD0;Q92959;O94956;Q6ZQN7;Q9NPD5;P46721;P02768;P36021;P01185	Transport of small molecules	Transport of vitamins, nucleosides, and related molecules	R-HSA-425407
R-HSA-425407	Q9BRV3;Q96JT2;P11168;Q8TDB8;Q6PXP3;Q9NRM0;Q5TF39;Q9NY91;P13866;Q2M3M2;P31639;A0PJK1;Q9NY64;Q9UGQ3;Q9NSA1;O95528;Q8TD20;P11166;Q9BYW1;P11169;P14672;Q5EBL8;Q9Y289;O00400;Q9H1N7;Q969S0;Q9NTN3;P78382;Q8TB61;Q9Y2D2;P78381;Q76EJ3;Q96A29;Q6PCB7;Q9Y2P4;Q6P1M0;Q6UWW0;Q8WX39;P05090;Q6JVE5;P31025;Q9BZD2;Q7RTT9;O43868;Q9HAS3;O00337;Q99808;Q14542;P12235;Q9Y2Y0;P12236;P36404;P05141;Q9NYB5;Q9Y6L6;Q96BD0;Q92959;O94956;Q6ZQN7;Q9NPD5;P46721;P02768;P36021;P01185;Q9H598;Q70HW3;P43003;P43005;P48664;O60931;O00341;P43004;O75387;Q96QD8;Q9H2H9;Q969I6;Q99624;Q6YBV0;Q9H2J7;Q7Z2H8;P31641;Q695T7;Q8WUX1;Q9NP91;P43007;Q8TF71;Q9UPY5;Q9UM01;Q8N370;Q01650;Q9UHI5;Q495M3;Q9UN76;P30825;Q96N87;P48065;Q07837;Q9NS82;Q15758;P52569;Q8WY07;P08195;P82251;Q8N8R3;Q92536;Q9Y6R1;Q9Y6M7;Q9BY07;Q96HN2;Q2Y0W8;Q6U841;P04920;P48751;P02730;Q96Q91;P30626;Q6J4K2;P32418;P57103;P0DP23;Q9HC58;Q9UI40;Q71RS6;Q9UPR5;O60721;Q8NFF2;P48764;Q9Y2E8;Q14940;P19634;Q9UBY0;Q6AI14;Q92581;Q8IVB4;Q96T83;Q9UHW9;Q13621;Q9UP95;P55017;P55011;Q9H2X9;Q9Y666;Q86WA9;P50443;Q9BXS9;O43511;Q9H2B4;Q8TE54;P40879;Q7LBE3;Q1EHB4;P46059;Q8N697;Q16348;Q8IY34;Q9NRA2;Q8NDX2;Q8N695;Q92911;Q9H1K4;Q9UBX3;Q9H936;Q9P2U8;Q14916;Q9P2U7;Q8WUM9;Q08357;O95436;Q8N130;Q06495;Q3KNW5;Q86VL8;Q9GZV3;Q96FL8;Q13336;Q15849;Q8WWI5;Q8IWA5;Q53GD3;Q8N4M1;Q8NCS7;P53794;Q96QE2;Q8WWX8;Q9BZW2;Q86YT5;Q9UKG4;Q8WWT9;Q13183;O95907;Q6PCB8;P35613;P53985;O15427;O60669;P23975;Q9NSD5;P48066;O15245;Q99884;Q01959;P30531;P54219;P48067;Q9Y345;O15244;Q05940;Q9UBD6;Q02094;Q9H310;Q86VW1;Q9H015;Q01196;Q96BI1;O76082;Q92681;O75751;Q8IZD6;Q9Y694;Q9NSA0;Q96S37;Q4U2R8;Q8TCC7;Q8IVJ1;P49279;Q96JW4;Q9NP59;O15431;P00450;Q9BQS7;P49281;Q6XR72;Q8NEW0;Q8TAD4;Q9Y6M5;Q6NXT4;Q8IWU4;Q99726;Q9BRI3;Q13433;Q6ZMH5;Q9C0K1;Q6P5W5;Q92504;Q15043;Q9NP94;Q9NY26;Q9ULF5;Q9BRY0	Transport of small molecules	SLC-mediated transmembrane transport	R-HSA-382551
R-HSA-425410	Q8IVJ1;P49279;Q96JW4;Q9NP59;O15431;P00450;Q9BQS7;P49281;Q6XR72;Q8NEW0;Q8TAD4;Q9Y6M5;Q6NXT4;Q8IWU4;Q99726;Q9BRI3;Q13433;Q6ZMH5;Q9C0K1;Q6P5W5;Q92504;Q15043;Q9NP94;Q9NY26;Q9ULF5;Q9BRY0	Transport of small molecules	Metal ion SLC transporters	R-HSA-425366
R-HSA-425561	P30626;Q6J4K2;P32418;P57103;P0DP23;Q9HC58;Q9UI40;Q71RS6;Q9UPR5;O60721;Q8NFF2	Transport of small molecules	Sodium/Calcium exchangers	R-HSA-425393
R-HSA-425986	P48764;Q9Y2E8;Q14940;P19634;Q9UBY0;Q6AI14;Q92581;Q8IVB4;Q96T83	Transport of small molecules	Sodium/Proton exchangers	R-HSA-425393
R-HSA-426048	Q99685;Q9Y4D2;Q8N2K0;Q8NCG7;Q9BV23	Hemostasis;Signal Transduction	Arachidonate production from DAG	R-HSA-114508
R-HSA-426117	Q9UHW9;Q13621;Q9UP95;P55017;P55011;Q9H2X9;Q9Y666	Transport of small molecules	Cation-coupled Chloride cotransporters	R-HSA-425393
R-HSA-426486	Q15633;O75569;Q9H9G7;Q9UL18;Q9HCK5;Q9UKV8;Q9UPY3;Q99598;Q15631	Gene expression (Transcription)	Small interfering RNA (siRNA) biogenesis	R-HSA-211000
R-HSA-426496	Q9UPQ9;Q9HCJ0;Q8NDV7;Q9H9G7;Q9UL18;Q9HCK5;Q9UKV8	Gene expression (Transcription)	Post-transcriptional silencing by small RNAs	R-HSA-211000
R-HSA-427359	P0C5Y9;P16104;P20226;Q15572;Q53T94;Q9H5J8;Q93077;P62807;P06899;O43463;Q15573;O43159;Q96EB6;O60814;Q6FI13;Q99878;P57053;Q71UI9;Q9BTM1;P33778;P20671;P58876;Q16778;P0C0S5;P84243;Q16777;Q8N257;Q71DI3;Q99880;Q99879;Q93079;P23527;P04908;P68431;P62805;Q99877;Q96A08	Gene expression (Transcription)	SIRT1 negatively regulates rRNA expression	R-HSA-5250941
R-HSA-427389	P0C5Y9;P16104;Q15361;Q16576;Q86YP4;Q93077;P62807;P06899;Q13330;Q09028;Q14839;O60814;Q6FI13;Q99878;P57053;Q12873;Q13185;Q92769;Q71UI9;Q03468;Q96KQ7;Q9BTM1;P33778;P20671;P58876;O95983;Q16778;P0C0S5;P84243;Q16777;Q13547;Q9BTC8;Q8WXI9;Q8N257;Q71DI3;Q99880;Q99879;Q93079;P23527;P04908;P68431;P62805;Q99877;Q96A08;O94776	Gene expression (Transcription)	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	R-HSA-5250913
R-HSA-427413	P52434;Q9GZS1;P19388;P19447;P0C5Y9;P16104;Q3B726;O95602;Q96ST3;P20226;Q9UHR5;P61218;Q9H7L9;O15160;Q15572;Q53T94;Q9H5J8;Q15361;P17480;O60264;Q9P1U0;O75446;P62875;Q93077;P62807;P53803;P06899;O15446;Q15573;Q9H9Y6;P0DPB5;Q9H0E3;Q9HAJ7;O75182;O00422;O60814;Q6FI13;Q99878;P57053;Q9UBC3;P51948;Q9UIF9;P50613;P51946;Q92769;Q71UI9;P18074;Q9BTM1;P33778;P20671;P58876;Q16778;P0C0S5;P84243;Q16777;Q13547;Q8N257;Q71DI3;Q99880;Q99879;Q93079;P23527;P04908;P68431;P62805;Q9UBB5;Q99877;Q96A08;Q92759;Q6ZYL4;P26358;Q13888;Q13889;P32780;Q4LE39	Gene expression (Transcription)	NoRC negatively regulates rRNA expression	R-HSA-5250941
R-HSA-427589	O95436;Q8N130;Q06495	Transport of small molecules	Type II Na+/Pi cotransporters	R-HSA-427652
R-HSA-427601	Q86WA9;P50443;Q9BXS9;O43511;Q9H2B4;Q8TE54;P40879;Q7LBE3;Q1EHB4	Transport of small molecules	Multifunctional anion exchangers	R-HSA-425393
R-HSA-427652	Q8WUM9;Q08357;O95436;Q8N130;Q06495	Transport of small molecules	Sodium-coupled phosphate cotransporters	R-HSA-425393
R-HSA-427975	P46059;Q8N697;Q16348;Q8IY34	Transport of small molecules	Proton/oligopeptide cotransporters	R-HSA-425393
R-HSA-428157	Q96LT4;Q86VZ5;O95470;Q969W0;Q8N138;Q8NHU3;Q9NYA1;Q9NUV7;Q8IVW8;Q9BX95;P22059;Q9NRA0;Q8IWX5;O14495;Q9BZL6;P78368;O14494;Q5SGD2;Q8NFR3;Q9P0L0;O43688;O15269;O15270;Q5QJU3;Q8N5B7;Q9NUN7;Q96G23;Q6ZMG9;P43353;Q8TDN7;P48448;Q8IU89;Q6QHC5;O94806;Q15139;Q06136;Q53FV1;Q9P0S3;Q7L5A8;O95292;O15121;P27544;Q9HA82;Q9H227;P07602;Q8NBJ7;Q9Y3R4;O60906;P17900;Q9NXE4;P10619;Q8NBK3;P08842;Q6UWU2;P51690;Q6UWY0;P15289;P15848;P16278;Q00973;P51689;P54793;Q8TCT0;P17405;Q96EG1;Q9HCG7;Q13510;Q16739;P54803;P06280;O75752;Q6UWV6;Q16880;Q5FYB1;Q9NR71;A0FGR8;P07686;Q5FYB0;Q9BSJ8;Q5FYA8;Q5TA50;A0FGR9;P04062;Q9NZD2;Q99519;Q9NY59;P06865;Q9UQ49	Metabolism	Sphingolipid metabolism	R-HSA-556833
R-HSA-428359	O00425;Q9NZI8;Q9Y6M1	Metabolism of RNA	Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA	R-HSA-8953854
R-HSA-428540	Q9Y6N7;P16333;Q07890;O94813;O96013;Q9NQU5;Q07889;P63000;O43639;Q13177;O75914;Q13153;Q9P286	Developmental Biology	Activation of RAC1	R-HSA-376176
R-HSA-428542	O75093;O75094;Q9Y6N7;Q99435;O94813;Q9HCK4;O95631;P12931;P43146	Developmental Biology	Regulation of commissural axon pathfinding by SLIT and ROBO	R-HSA-376176
R-HSA-428543	O75044;O43295;Q9Y6N7;O94813;Q7Z6B7;P63000;Q9C0H5;P60953	Developmental Biology	Inactivation of CDC42 and RAC1	R-HSA-376176
R-HSA-428559	Q7Z2H8;Q495M3	Transport of small molecules	Proton-coupled neutral amino acid transporters	R-HSA-425393
R-HSA-428643	Q9NRA2;Q8NDX2;Q8N695;Q92911;Q9H1K4;Q9UBX3;Q9H936;Q9P2U8;Q14916;Q9P2U7	Transport of small molecules	Organic anion transporters	R-HSA-425393
R-HSA-428890	Q9Y6N7;O94813;P42684;Q7Z460;O75122;P40123;P00519;Q01518	Developmental Biology	Role of ABL in ROBO-SLIT signaling	R-HSA-376176
R-HSA-428930	P21731;P50148;P62879;P50150;P61952;Q13685;P29992;O14775;P63215;Q9HAV0;P63211;P62873;O60262;P30679;P59768;P16520;P63218;Q14344;Q9UBI6;Q9P2W3;P50151;O14610;Q9UK08;O95837	Hemostasis	Thromboxane signalling through TP receptor	R-HSA-392518
R-HSA-429593	P53794;Q96QE2;Q8WWX8	Transport of small molecules	Inositol transporters	R-HSA-425366
R-HSA-429914	Q58A45;Q504Q3;O95453;P11940;Q5TAX3;Q9ULM6;Q9NZN8;A5YKK6;O95628;Q9UFF9;Q92600;O75175;Q9H9A5;Q9UIV1;Q9UKZ1;P38919;Q04637;Q96LI5;P06730;P60842;Q9H074;Q14240;Q9C0C2;Q5VYS8;P23588;Q15477;Q6PGP7;Q9Y450;Q9GZS3;Q969T7;Q9Y3B2;Q15024;Q96C86;Q06265;Q96B26;Q9NQT4;Q9NPD3;Q13868;Q5RKV6;Q9NQT5;Q9Y2L1;Q86TB9;Q9UK45;P26196;Q96F86;Q6P2E9;O15116;Q9Y333;Q9Y4Z0;Q9Y4Y9;Q8IU60;Q9NPI6;Q8IZD4;Q8IZH2;P62310;P62312	Metabolism of RNA	Deadenylation-dependent mRNA decay	R-HSA-8953854
R-HSA-429947	Q58A45;Q504Q3;O95453;P11940;Q5TAX3;Q9ULM6;Q9NZN8;A5YKK6;O95628;Q9UFF9;Q92600;O75175;Q9H9A5;Q9UIV1;Q9UKZ1;P38919;Q04637;Q96LI5;P06730;P60842;Q9H074;Q14240;Q9C0C2;Q5VYS8;P23588	Metabolism of RNA	Deadenylation of mRNA	R-HSA-429914
R-HSA-429958	Q15477;Q6PGP7;Q9Y450;Q9GZS3;Q969T7;Q9Y3B2;Q15024;Q96C86;Q06265;Q96B26;Q9NQT4;Q9NPD3;Q13868;Q5RKV6;Q9NQT5;Q9Y2L1	Metabolism of RNA	mRNA decay by 3' to 5' exoribonuclease	R-HSA-429914
R-HSA-430039	Q86TB9;Q9UK45;P26196;Q96F86;Q6P2E9;O15116;Q9Y333;Q9Y4Z0;Q9Y4Y9;Q8IU60;Q9NPI6;Q8IZD4;Q8IZH2;P62310;P62312	Metabolism of RNA	mRNA decay by 5' to 3' exoribonuclease	R-HSA-429914
R-HSA-430116	P04049;P07359;P27986;P13224;P02452;P63104;P14770;P40197;P21333;P04275;P08123	Hemostasis	GP1b-IX-V activation signalling	R-HSA-76002
R-HSA-432030	O14520;O43315	Transport of small molecules	Transport of glycerol from adipocytes to the liver by Aquaporins	R-HSA-445717
R-HSA-432040	Q7L804;P30518;P62491;P22612;P31321;P17612;Q5JWF2;O43306;P62879;O60266;P50150;P61952;O60503;Q8NFM4;P41181;P29972;O95622;P40145;Q08828;P63092;O14775;P63215;Q9HAV0;P63211;P62873;P10644;O60262;P51828;P59768;P16520;Q08462;P63218;Q9UBI6;Q9P2W3;P50151;O14610;P13861;P01185;P31323;P22694;Q9UK08;Q9ULV0;Q92482;P55087	Transport of small molecules	Vasopressin regulates renal water homeostasis via Aquaporins	R-HSA-445717
R-HSA-432047	P30301;O14520;O94778;Q13520;O43315;P41181;P29972;Q8IXF9;Q96PS8;P55064;Q8NBQ7;Q92482;P55087	Transport of small molecules	Passive transport by Aquaporins	R-HSA-445717
R-HSA-432142	P62714;Q06124;P67775;P47712;Q14114;P29350;P16284;Q14738;Q15173;P09769;Q13362;P30153;Q16537;P30154;Q15172;P04114;Q16539	Hemostasis	Platelet sensitization by LDL	R-HSA-418346
R-HSA-432720	Q99962;Q9BV40;P63027;P51809;P09497;O43633;Q96PC3;O00189;Q9UPM8;P49407;O75843;P78537;Q8IUQ0;P61966;Q10567;O43747;Q5SYC1;Q9BXS5;Q9Y6B7;Q9Y6Q5;Q9UBR2;P56377;P84077;P15586;P11142;P50570;O75061;P05067;P20645;O14964;Q8NBS9;Q9Y587;O00115	Vesicle-mediated transport	Lysosome Vesicle Biogenesis	R-HSA-199992
R-HSA-432722	Q9Y5X3;Q99962;Q5HYK7;O95295;O00443;O60749;Q96EC8;P02786;Q9BV40;P63027;P51809;Q0IIM8;Q01968;P54920;Q9Y5X1;Q13492;Q14671;P51148;Q99523;Q92572;Q9H3P7;Q96PC3;Q9UPM8;Q9UL45;P49407;Q96EV8;P78537;P61966;Q10567;O43747;Q9BXS5;Q9Y6B7;Q9Y6Q5;Q9NUP1;P56377;O00203;P84077;Q14677;O14976;P11142;P50570;P02794;O75976;O75061;Q6QNY0;Q14789;P02792;O75146;P11717;Q8NC96;P55327;O43493;Q8NBS9;Q16890	Vesicle-mediated transport	Golgi Associated Vesicle Biogenesis	R-HSA-199992
R-HSA-433137	Q9BZW2;Q86YT5;Q9UKG4;Q8WWT9;Q13183	Transport of small molecules	Sodium-coupled sulphate, di- and tri-carboxylate transporters	R-HSA-425366
R-HSA-433692	O95907;Q6PCB8;P35613;P53985;O15427;O60669	Transport of small molecules	Proton-coupled monocarboxylate transport	R-HSA-425366
R-HSA-4341670	P10619;P16278;Q99519	Disease	Defective NEU1 causes sialidosis	R-HSA-5609975
R-HSA-434313	O60488;P16671;O95573	Metabolism	Intracellular metabolism of fatty acids regulates insulin secretion	R-HSA-400451
R-HSA-434316	Q00722;Q9NQ66;Q01970;P50148;O14842;P29992;P30679;O95837	Metabolism	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	R-HSA-400451
R-HSA-435354	Q8NEW0;Q8TAD4;Q9Y6M5;Q6NXT4;Q8IWU4;Q99726;Q9BRI3;Q13433;Q6ZMH5;Q9C0K1;Q6P5W5;Q92504;Q15043;Q9NP94;Q9NY26;Q9ULF5;Q9BRY0	Transport of small molecules	Zinc transporters	R-HSA-425410
R-HSA-435368	Q8NEW0;Q8TAD4;Q9Y6M5;Q6NXT4;Q8IWU4;Q99726;Q9BRI3	Transport of small molecules	Zinc efflux and compartmentalization by the SLC30 family	R-HSA-435354
R-HSA-437239	Q99962;P0DPH7;Q71U36;Q9H4B7;P68366;A6NHL2;Q9BQE3;Q13885;P0DPH8;A6NNZ2;P04350;Q9H853;P49757;Q6PEY2;Q9NY65;Q9BVA1;Q9BUF5;A0MZ66;P35241;P53680;P63261;P09496;Q9UQ16;Q96CW1;O94973;O95782;Q9UK32;O95239;P15311;P60709;O75582;P50570;Q16555;Q00610;Q05193;P26038;Q15418;P51812;P32004;O75676;P28482;Q15349;Q13509;Q2VIQ3;P68363;Q3ZCM7;P68371;P63010	Developmental Biology	Recycling pathway of L1	R-HSA-373760
R-HSA-438064	P51817;P22612;P31321;P17612;P16220;P40145;Q08828;P10644;P0DP23;P13861;P31323;P22694;Q96RR4;Q8N5S9;Q13555;P52292;Q16566;Q13554;Q14012;P63000;Q9Y2X7;P0DPH7;Q71U36;Q9H4B7;P68366;A6NHL2;Q9BQE3;Q13885;P0DPH8;A6NNZ2;P04350;Q9H853;Q6PEY2;Q9NY65;Q9BVA1;Q9BUF5;O43741;Q13131;Q9UGJ0;Q9Y478;Q9UGI9;P54619;P54646;Q13509;P68363;Q3ZCM7;P68371;Q13224;Q05586;P42261;Q13557;Q12879;P12931;P35609;Q15700;Q92796;Q12959;Q15303;Q96NW7;P78352;Q9UQM7;P42262;Q02297;P07196;O15399;Q92686;Q14957;Q9UK32;Q15418;P51812;Q15349;P01111;P01116;P01112;O14827;Q13972;O15530;P27361;P28482	Neuronal System	Post NMDA receptor activation events	R-HSA-442755
R-HSA-438066	Q13224;P42263;Q05586;P42261;Q13557;Q12879;P35609;Q15700;Q92796;Q12959;Q13555;Q96NW7;P0DP23;P78352;P48058;Q9UQM7;P42262;P07196;O15399;Q13554;Q14957	Neuronal System	Unblocking of NMDA receptors, glutamate binding and activation	R-HSA-442755
R-HSA-4411364	Q9NQB0;Q13761;P01106;P36402;P35222;Q9Y2T1;Q9UJU2;Q9HCS4	Signal Transduction	Binding of TCF/LEF:CTNNB1 to target gene promoters	R-HSA-201722
R-HSA-4419969	P05771;P20700;Q9BQK8;P14635;P06493;O95476;Q14693;P17252;Q9Y2U8;Q8N9A8;Q8NC56;Q92539;P02545;P50402	Cell Cycle	Depolymerisation of the Nuclear Lamina	R-HSA-2980766
R-HSA-4420097	P61586;P98077;P16333;P49023;P22612;P55160;P05106;Q16644;O75116;Q13464;Q9UKW4;Q9Y6W5;P15498;Q9UPY6;P17612;P42338;P30530;P27986;Q9NP31;Q15464;P63000;Q8IZP0;P63261;P60953;P46108;Q9NYB9;Q96JJ3;Q7L576;P04839;Q8WUW1;Q9UQB8;Q96F07;Q14289;P06241;P60709;Q92556;Q05397;P13498;Q15759;Q16539;Q14185;P19878;O43639;P14598;P04792;P07900;P53778;Q13177;Q9Y2A7;O00459;Q15080;P49137;P06756;P22694;O15264;Q92558;P42336;P35968;P52735;P56945;Q9BPZ7;O15530;P85299;Q6R327;P14923;O60716;P33151;Q03135;P35222;Q9Y243;P35221;P31751;P31749;P0DP23;Q9BVC4;P29474;O75914;Q13153;P42345;Q96RU7;Q5T1C6;P05771;P19174;Q9NYA1;O43865;P01111;P01116;P20936;P01112;Q05655;Q14573;Q14571;P17252;Q14643;Q05513	Signal Transduction	VEGFA-VEGFR2 Pathway	R-HSA-194138
